Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
RegressionSuite,Chrome 66.0.3359.181,,2018-06-04 18:17:28,2018-06-04 18:23:25,5m - 56.805s,FAILED
,,,,,,
Test Cases/SummaryReportsTC/HME-Summary Report-02,Chrome 66.0.3359.181,To verify that public admin is able to generate weekly summary report for selected groups/stores for selected duration,2018-06-04 18:17:29,2018-06-04 18:21:35,4m - 5.952s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-06-04 18:17:29,2018-06-04 18:17:33,4.308s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-06-04 18:17:33,2018-06-04 18:17:33,0.000s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-06-04 18:17:33,2018-06-04 18:21:34,4m - 0.470s,FAILED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-06-04 18:21:34,2018-06-04 18:21:34,0.003s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-06-04 18:21:34,2018-06-04 18:21:35,0.741s,PASSED
,,,,,,
Test Cases/SummaryReportsTC/HME-Summary Report-04,Chrome 66.0.3359.181,To verify that public admin is able to generate daypart summary report for selected groups/stores for selected duration,2018-06-04 18:21:35,2018-06-04 18:23:25,1m - 50.473s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-06-04 18:21:35,2018-06-04 18:21:39,4.192s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-06-04 18:21:39,2018-06-04 18:21:39,0.000s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-06-04 18:21:39,2018-06-04 18:23:24,1m - 45.316s,PASSED
Statement - Catch (Exception e),Chrome 66.0.3359.181,,2018-06-04 18:23:24,2018-06-04 18:23:24,0.014s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-06-04 18:23:24,2018-06-04 18:23:24,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-06-04 18:23:24,2018-06-04 18:23:25,0.723s,PASSED
