Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
RegressionSuite,Chrome 65.0.3325.181,,2018-04-13 15:29:48,2018-04-13 15:32:05,2m - 17.689s,PASSED
,,,,,,
Test Cases/HME-StoreDetailsPage-09,Chrome 65.0.3325.181,To verify that public admin is able to view store details page,2018-04-13 15:29:48,2018-04-13 15:30:11,22.892s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 65.0.3325.181,,2018-04-13 15:29:48,2018-04-13 15:29:53,4.933s,PASSED
Statement - TCflag = true,Chrome 65.0.3325.181,,2018-04-13 15:29:53,2018-04-13 15:29:53,0.001s,PASSED
Statement - Try,Chrome 65.0.3325.181,,2018-04-13 15:29:53,2018-04-13 15:30:10,17.033s,PASSED
Statement - assert TCflag == true,Chrome 65.0.3325.181,,2018-04-13 15:30:10,2018-04-13 15:30:10,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 65.0.3325.181,,2018-04-13 15:30:10,2018-04-13 15:30:11,0.683s,PASSED
,,,,,,
Test Cases/HME-Summary Report-02,Chrome 65.0.3325.181,To verify that public admin is able to generate weekly summary report for selected groups/stores for selected duration,2018-04-13 15:30:11,2018-04-13 15:32:05,1m - 54.298s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 65.0.3325.181,,2018-04-13 15:30:11,2018-04-13 15:30:15,4.105s,PASSED
Statement - TCflag = true,Chrome 65.0.3325.181,,2018-04-13 15:30:15,2018-04-13 15:30:15,0.000s,PASSED
Statement - Try,Chrome 65.0.3325.181,,2018-04-13 15:30:15,2018-04-13 15:32:05,1m - 49.251s,PASSED
Statement - assert TCflag == true,Chrome 65.0.3325.181,,2018-04-13 15:32:05,2018-04-13 15:32:05,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 65.0.3325.181,,2018-04-13 15:32:05,2018-04-13 15:32:05,0.666s,PASSED
