Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
RegressionSuite,Chrome 66.0.3359.181,,2018-06-04 17:39:16,2018-06-04 17:54:11,14m - 54.565s,FAILED
,,,,,,
Test Cases/SummaryReportsTC/HME-Summary Report-04,Chrome 66.0.3359.181,To verify that public admin is able to generate daypart summary report for selected groups/stores for selected duration,2018-06-04 17:39:17,2018-06-04 17:41:46,2m - 29.031s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-06-04 17:39:17,2018-06-04 17:39:23,5.430s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-06-04 17:39:23,2018-06-04 17:39:23,0.001s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-06-04 17:39:23,2018-06-04 17:41:45,2m - 22.368s,PASSED
Statement - Catch (Exception e),Chrome 66.0.3359.181,,2018-06-04 17:41:45,2018-06-04 17:41:46,0.011s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-06-04 17:41:46,2018-06-04 17:41:46,0.002s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-06-04 17:41:46,2018-06-04 17:41:46,0.828s,PASSED
,,,,,,
Test Cases/SummaryReportsTC/HME-Summary Report-05,Chrome 66.0.3359.181,To verify that public admin is able to generate raw data summary report for selected groups/stores for selected duration,2018-06-04 17:41:46,2018-06-04 17:46:43,4m - 56.185s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-06-04 17:41:46,2018-06-04 17:41:50,3.636s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-06-04 17:41:50,2018-06-04 17:41:50,0.000s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-06-04 17:41:50,2018-06-04 17:46:42,4m - 51.649s,FAILED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-06-04 17:46:42,2018-06-04 17:46:43,0.676s,PASSED
,,,,,,
Test Cases/SummaryReportsTC/HME-Summary Report-06,Chrome 66.0.3359.181,To verify that public admin is able to generate day summary report for selected groups/stores for selected time period,2018-06-04 17:46:43,2018-06-04 17:50:50,4m - 7.801s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-06-04 17:46:43,2018-06-04 17:46:46,3.267s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-06-04 17:46:46,2018-06-04 17:46:46,0.000s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-06-04 17:46:46,2018-06-04 17:50:50,4m - 3.622s,FAILED
Statement - Catch (Exception e),Chrome 66.0.3359.181,,2018-06-04 17:50:50,2018-06-04 17:50:50,0.001s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-06-04 17:50:50,2018-06-04 17:50:50,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-06-04 17:50:50,2018-06-04 17:50:50,0.665s,PASSED
,,,,,,
Test Cases/SummaryReportsTC/HME-Summary Report-02,Chrome 66.0.3359.181,To verify that public admin is able to generate weekly summary report for selected groups/stores for selected duration,2018-06-04 17:50:50,2018-06-04 17:52:09,1m - 18.619s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-06-04 17:50:50,2018-06-04 17:50:54,3.231s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-06-04 17:50:54,2018-06-04 17:50:54,0.000s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-06-04 17:50:54,2018-06-04 17:52:08,1m - 14.494s,PASSED
Statement - Catch (Exception e),Chrome 66.0.3359.181,,2018-06-04 17:52:08,2018-06-04 17:52:08,0.001s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-06-04 17:52:08,2018-06-04 17:52:08,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-06-04 17:52:08,2018-06-04 17:52:09,0.663s,PASSED
,,,,,,
Test Cases/SummaryReportsTC/HME-Summary Report-16,Chrome 66.0.3359.181,To verify that public admin is able to generate week summary report for maximum of 3 months with 250 stores by using Advanced options,2018-06-04 17:52:09,2018-06-04 17:54:11,2m - 1.792s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-06-04 17:52:09,2018-06-04 17:52:12,3.329s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-06-04 17:52:12,2018-06-04 17:52:12,0.000s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-06-04 17:52:12,2018-06-04 17:54:10,1m - 57.612s,PASSED
Statement - Catch (Exception e),Chrome 66.0.3359.181,,2018-06-04 17:54:10,2018-06-04 17:54:10,0.001s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-06-04 17:54:10,2018-06-04 17:54:10,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-06-04 17:54:10,2018-06-04 17:54:11,0.658s,PASSED
