Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteDemo,Chrome 66.0.3359.181,,2018-06-06 19:19:31,2018-06-06 19:22:36,3m - 5.420s,INCOMPLETE
,,,,,,
Test Cases/TimeZoneTC/HME-Browser-Timezone-01,Chrome 66.0.3359.181,To verify that time zone is displayed in EST in Day summary report,2018-06-06 19:19:31,2018-06-06 19:22:11,2m - 39.955s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-06-06 19:19:31,2018-06-06 19:19:36,4.519s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-06-06 19:19:36,2018-06-06 19:19:36,0.000s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-06-06 19:19:36,2018-06-06 19:22:10,2m - 34.480s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-06-06 19:22:10,2018-06-06 19:22:11,0.004s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-06-06 19:22:11,2018-06-06 19:22:11,0.689s,PASSED
,,,,,,
Test Cases/TimeZoneTC/HME-Browser-Timezone-02,Chrome 66.0.3359.181,To verify that time zone is displayed in EST in Daypart summary report,2018-06-06 19:22:11,2018-06-06 19:22:36,25.037s,INCOMPLETE
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-06-06 19:22:11,2018-06-06 19:22:15,3.572s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-06-06 19:22:15,2018-06-06 19:22:15,0.000s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-06-06 19:22:15,2018-06-06 19:22:36,21.173s,INCOMPLETE
