Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteDemo,Chrome 66.0.3359.181,,2018-06-06 18:47:28,2018-06-06 19:01:02,13m - 33.628s,INCOMPLETE
,,,,,,
Test Cases/TimeZoneTC/HME-Browser-Timezone-01,Chrome 66.0.3359.181,To verify that time zone is displayed in EST in Day summary report,2018-06-06 18:47:29,2018-06-06 18:49:21,1m - 51.964s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-06-06 18:47:29,2018-06-06 18:47:33,4.442s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-06-06 18:47:33,2018-06-06 18:47:33,0.001s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-06-06 18:47:33,2018-06-06 18:49:20,1m - 46.522s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-06-06 18:49:20,2018-06-06 18:49:20,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-06-06 18:49:20,2018-06-06 18:49:21,0.723s,PASSED
,,,,,,
Test Cases/TimeZoneTC/HME-Browser-Timezone-02,Chrome 66.0.3359.181,To verify that time zone is displayed in EST in Daypart summary report,2018-06-06 18:49:21,2018-06-06 18:51:04,1m - 43.983s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-06-06 18:49:21,2018-06-06 18:49:25,4.124s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-06-06 18:49:25,2018-06-06 18:49:25,0.001s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-06-06 18:49:25,2018-06-06 18:51:04,1m - 38.862s,PASSED
Statement - Catch (Exception e),Chrome 66.0.3359.181,,2018-06-06 18:51:04,2018-06-06 18:51:04,0.025s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-06-06 18:51:04,2018-06-06 18:51:04,0.002s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-06-06 18:51:04,2018-06-06 18:51:04,0.710s,PASSED
,,,,,,
