Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteDemo,Chrome 66.0.3359.139,,2018-05-15 13:55:14,2018-05-15 14:02:47,7m - 32.920s,PASSED
,,,,,,
Test Cases/TimeZoneTC/HME-Account_Setting-Timezone-04,Chrome 66.0.3359.139,To verify that time zone is displayed in CST in Day summary report,2018-05-15 13:55:14,2018-05-15 13:56:18,1m - 3.991s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.139,,2018-05-15 13:55:14,2018-05-15 13:55:19,4.570s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.139,,2018-05-15 13:55:19,2018-05-15 13:55:19,0.001s,PASSED
Statement - Try,Chrome 66.0.3359.139,,2018-05-15 13:55:19,2018-05-15 13:56:18,58.455s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.139,,2018-05-15 13:56:18,2018-05-15 13:56:18,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.139,,2018-05-15 13:56:18,2018-05-15 13:56:18,0.685s,PASSED
,,,,,,
Test Cases/TimeZoneTC/HME-Account_Setting-Timezone-05,Chrome 66.0.3359.139,To verify that time zone is displayed in CST in Daypart summary report,2018-05-15 13:56:18,2018-05-15 13:57:45,1m - 27.036s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.139,,2018-05-15 13:56:18,2018-05-15 13:56:22,3.486s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.139,,2018-05-15 13:56:22,2018-05-15 13:56:22,0.001s,PASSED
Statement - Try,Chrome 66.0.3359.139,,2018-05-15 13:56:22,2018-05-15 13:57:45,1m - 22.580s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.139,,2018-05-15 13:57:45,2018-05-15 13:57:45,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.139,,2018-05-15 13:57:45,2018-05-15 13:57:45,0.709s,PASSED
,,,,,,
Test Cases/TimeZoneTC/HME-Account_Setting-Timezone-06,Chrome 66.0.3359.139,To verify that time zone is displayed in CST in weekly summary report,2018-05-15 13:57:45,2018-05-15 13:59:05,1m - 19.429s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.139,,2018-05-15 13:57:45,2018-05-15 13:57:50,4.318s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.139,,2018-05-15 13:57:50,2018-05-15 13:57:50,0.001s,PASSED
Statement - Try,Chrome 66.0.3359.139,,2018-05-15 13:57:50,2018-05-15 13:59:04,1m - 14.192s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.139,,2018-05-15 13:59:04,2018-05-15 13:59:04,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.139,,2018-05-15 13:59:04,2018-05-15 13:59:05,0.680s,PASSED
,,,,,,
Test Cases/TimeZoneTC/HME-Browser-Timezone-01,Chrome 66.0.3359.139,To verify that time zone is displayed in EST in Day summary report,2018-05-15 13:59:05,2018-05-15 14:00:18,1m - 13.245s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.139,,2018-05-15 13:59:05,2018-05-15 13:59:08,3.668s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.139,,2018-05-15 13:59:09,2018-05-15 13:59:09,0.001s,PASSED
Statement - Try,Chrome 66.0.3359.139,,2018-05-15 13:59:09,2018-05-15 14:00:17,1m - 8.659s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.139,,2018-05-15 14:00:17,2018-05-15 14:00:17,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.139,,2018-05-15 14:00:17,2018-05-15 14:00:18,0.722s,PASSED
,,,,,,
Test Cases/TimeZoneTC/HME-Browser-Timezone-02,Chrome 66.0.3359.139,To verify that time zone is displayed in EST in Daypart summary report,2018-05-15 14:00:18,2018-05-15 14:01:32,1m - 14.397s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.139,,2018-05-15 14:00:18,2018-05-15 14:00:22,3.721s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.139,,2018-05-15 14:00:22,2018-05-15 14:00:22,0.000s,PASSED
Statement - Try,Chrome 66.0.3359.139,,2018-05-15 14:00:22,2018-05-15 14:01:32,1m - 9.660s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.139,,2018-05-15 14:01:32,2018-05-15 14:01:32,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.139,,2018-05-15 14:01:32,2018-05-15 14:01:32,0.852s,PASSED
,,,,,,
Test Cases/TimeZoneTC/HME-Browser-Timezone-03,Chrome 66.0.3359.139,To verify that time zone is displayed in EST in Weekly summary report.,2018-05-15 14:01:32,2018-05-15 14:02:47,1m - 14.359s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.139,,2018-05-15 14:01:32,2018-05-15 14:01:36,3.954s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.139,,2018-05-15 14:01:37,2018-05-15 14:01:37,0.000s,PASSED
Statement - Try,Chrome 66.0.3359.139,,2018-05-15 14:01:37,2018-05-15 14:02:46,1m - 9.539s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.139,,2018-05-15 14:02:46,2018-05-15 14:02:46,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.139,,2018-05-15 14:02:46,2018-05-15 14:02:47,0.690s,PASSED
