Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
RegressionSuite,Chrome 65.0.3325.181,,2018-04-11 12:52:36,2018-04-11 12:53:17,41.495s,PASSED
,,,,,,
Test Cases/HME-StoreDetailsPage-09,Chrome 65.0.3325.181,To verify that public admin is able to view store details page,2018-04-11 12:52:36,2018-04-11 12:53:01,24.679s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 65.0.3325.181,,2018-04-11 12:52:36,2018-04-11 12:52:41,4.466s,PASSED
Statement - TCflag = true,Chrome 65.0.3325.181,,2018-04-11 12:52:41,2018-04-11 12:52:41,0.000s,PASSED
Statement - Try,Chrome 65.0.3325.181,,2018-04-11 12:52:41,2018-04-11 12:53:00,19.265s,PASSED
Statement - assert TCflag == true,Chrome 65.0.3325.181,,2018-04-11 12:53:00,2018-04-11 12:53:00,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 65.0.3325.181,,2018-04-11 12:53:00,2018-04-11 12:53:01,0.705s,PASSED
,,,,,,
Test Cases/DummyTest,Chrome 65.0.3325.181,,2018-04-11 12:53:01,2018-04-11 12:53:17,16.393s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 65.0.3325.181,,2018-04-11 12:53:01,2018-04-11 12:53:05,4.010s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-11 12:53:05,2018-04-11 12:53:10,4.471s,PASSED
projectSpecific.Reusability.login,Chrome 65.0.3325.181,,2018-04-11 12:53:10,2018-04-11 12:53:12,2.041s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-11 12:53:12,2018-04-11 12:53:17,5.007s,PASSED
Start listener action : sampleAfterTestCase,Chrome 65.0.3325.181,,2018-04-11 12:53:17,2018-04-11 12:53:17,0.729s,PASSED
