Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
RegressionSuite,Chrome 65.0.3325.181,,2018-04-24 11:27:34,2018-04-24 11:30:42,3m - 7.316s,FAILED
,,,,,,
Test Cases/CreateGroupTC/HME-StoreListPage-01,Chrome 65.0.3325.181,To verify that public admin is able to view Manage report groups button,2018-04-24 11:27:35,2018-04-24 11:29:18,1m - 42.956s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 65.0.3325.181,,2018-04-24 11:27:35,2018-04-24 11:27:41,6.501s,PASSED
Statement - TCflag = true,Chrome 65.0.3325.181,,2018-04-24 11:27:41,2018-04-24 11:27:41,0.000s,PASSED
Statement - Try,Chrome 65.0.3325.181,,2018-04-24 11:27:41,2018-04-24 11:29:17,1m - 35.545s,FAILED
Statement - assert TCflag == true,Chrome 65.0.3325.181,,2018-04-24 11:29:17,2018-04-24 11:29:17,0.002s,PASSED
Start listener action : sampleAfterTestCase,Chrome 65.0.3325.181,,2018-04-24 11:29:17,2018-04-24 11:29:18,0.738s,PASSED
,,,,,,
Test Cases/CreateGroupTC/HME-ReportingGroupManagement-03,Chrome 65.0.3325.181,To verify that public admin is able to view Reporting Group Management screen,2018-04-24 11:29:18,2018-04-24 11:30:42,1m - 23.937s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 65.0.3325.181,,2018-04-24 11:29:18,2018-04-24 11:29:21,3.384s,PASSED
Statement - TCflag = true,Chrome 65.0.3325.181,,2018-04-24 11:29:21,2018-04-24 11:29:21,0.001s,PASSED
Statement - Try,Chrome 65.0.3325.181,,2018-04-24 11:29:21,2018-04-24 11:30:41,1m - 19.670s,PASSED
Statement - assert TCflag == true,Chrome 65.0.3325.181,,2018-04-24 11:30:41,2018-04-24 11:30:41,0.004s,PASSED
Start listener action : sampleAfterTestCase,Chrome 65.0.3325.181,,2018-04-24 11:30:41,2018-04-24 11:30:42,0.682s,PASSED
