Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
RegressionSuite,Chrome 66.0.3359.181,,21-05-2018 11:12,21-05-2018 11:50,38m - 16.763s,FAILED
,,,,,,
Test Cases/TimeZoneTC/HME-Browser-Timezone-01,Chrome 66.0.3359.181,To verify that time zone is displayed in EST in Day summary report,21-05-2018 11:12,21-05-2018 11:14,2m - 12.332s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,21-05-2018 11:12,21-05-2018 11:12,6.845s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,21-05-2018 11:12,21-05-2018 11:12,0.001s,PASSED
Statement - Try,Chrome 66.0.3359.181,,21-05-2018 11:12,21-05-2018 11:14,2m - 4.441s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,21-05-2018 11:14,21-05-2018 11:14,0.003s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,21-05-2018 11:14,21-05-2018 11:14,0.791s,PASSED
,,,,,,
Test Cases/TimeZoneTC/HME-Browser-Timezone-02,Chrome 66.0.3359.181,To verify that time zone is displayed in EST in Daypart summary report,21-05-2018 11:14,21-05-2018 11:16,1m - 46.481s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,21-05-2018 11:14,21-05-2018 11:14,3.543s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,21-05-2018 11:14,21-05-2018 11:14,0.001s,PASSED
Statement - Try,Chrome 66.0.3359.181,,21-05-2018 11:14,21-05-2018 11:16,1m - 42.035s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,21-05-2018 11:16,21-05-2018 11:16,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,21-05-2018 11:16,21-05-2018 11:16,0.693s,PASSED
,,,,,,
Test Cases/TimeZoneTC/HME-Browser-Timezone-03,Chrome 66.0.3359.181,To verify that time zone is displayed in EST in Weekly summary report.,21-05-2018 11:16,21-05-2018 11:17,1m - 41.943s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,21-05-2018 11:16,21-05-2018 11:16,3.545s,PASSED
